ScopeID,IPAddress,Name,ClientID,Description
192.168.86.0,192.168.86.10,2-DR-G201-01,00-00-00-00-01-01,2-DR-G201-01
192.168.86.0,192.168.86.11,2-DR-G202-01,00-00-00-00-01-02,2-DR-G202-01
192.168.86.0,192.168.86.12,2-DR-G204-01,00-00-00-00-01-03,2-DR-G204-01
192.168.86.0,192.168.86.13,2-DR-G205-01,00-00-00-00-01-04,2-DR-G205-01
192.168.86.0,192.168.86.14,2-DR-G205-1-01,00-00-00-00-01-05,2-DR-G205-1-01
192.168.86.0,192.168.86.20,2-DR-H110-01,00-00-00-00-01-06,2-DR-H110-01
192.168.86.0,192.168.86.21,2-DR-H210-01,00-00-00-00-01-07,2-DR-H210-01
192.168.86.0,192.168.86.22,2-DR-H222-01,00-00-00-00-01-08,2-DR-H222-01
192.168.86.0,192.168.86.23,2-DR-H224-1-01,00-00-00-00-01-09,2-DR-H224-1-01
192.168.86.0,192.168.86.24,2-DR-H224-2-01,00-00-00-00-01-0A,2-DR-H224-2-01
192.168.86.0,192.168.86.25,2-DR-H226-01,00-00-00-00-01-0B,2-DR-H226-01
192.168.86.0,192.168.86.26,2-DR-H227-01,00-00-00-00-01-0C,2-DR-H227-01
192.168.86.0,192.168.86.27,2-DR-H229-01,00-00-00-00-01-0D,2-DR-H229-01
192.168.86.0,192.168.86.28,2-DR-H230-01,00-00-00-00-01-0E,2-DR-H230-01
192.168.86.0,192.168.86.29,2-DR-H231-01,00-00-00-00-01-0F,2-DR-H231-01
192.168.86.0,192.168.86.30,2-DR-H232-01,00-00-00-00-01-10,2-DR-H232-01
192.168.86.0,192.168.86.40,2-DR-J201-01,00-00-00-00-01-11,2-DR-J201-01
192.168.86.0,192.168.86.41,2-DR-J204-01,00-00-00-00-01-12,2-DR-J204-01
192.168.86.0,192.168.86.42,2-DR-J205-01,00-00-00-00-01-13,2-DR-J205-01
192.168.86.0,192.168.86.43,2-DR-J208-01,00-00-00-00-01-14,2-DR-J208-01
192.168.86.0,192.168.86.50,2-DR-K207-01,00-00-00-00-01-15,2-DR-K207-01
192.168.86.0,192.168.86.51,2-DR-K207-02,00-00-00-00-01-16,2-DR-K207-02
192.168.86.0,192.168.86.52,2-DR-K207-03,00-00-00-00-01-17,2-DR-K207-03
192.168.86.0,192.168.86.53,2-DR-K207-04,00-00-00-00-01-18,2-DR-K207-04
192.168.86.0,192.168.86.54,2-DR-K207-05,00-00-00-00-01-19,2-DR-K207-05
192.168.86.0,192.168.86.60,2-DR-L202-1-01,00-00-00-00-01-1A,2-DR-L202-1-01
192.168.86.0,192.168.86.61,2-DR-L202-2-01,00-00-00-00-01-1B,2-DR-L202-2-01
192.168.86.0,192.168.86.70,2-DR-M102-01,00-00-00-00-01-1C,2-DR-M102-01
192.168.86.0,192.168.86.71,2-DR-M205-01,00-00-00-00-01-1D,2-DR-M205-01
192.168.86.0,192.168.86.72,2-DR-M208-01,00-00-00-00-01-1E,2-DR-M208-01
192.168.86.0,192.168.86.80,2-DR-N302-01,00-00-00-00-01-1F,2-DR-N302-01
192.168.86.0,192.168.86.81,2-DR-N303-01,00-00-00-00-01-20,2-DR-N303-01
192.168.86.0,192.168.86.82,2-DR-N309-01,00-00-00-00-01-21,2-DR-N309-01
192.168.86.0,192.168.86.83,2-DR-N30x-01,00-00-00-00-01-22,2-DR-N30x-01
